alpha,delta,epsilon,profit,inventory_2020,herfindahl_2020
0.5,0.02,0.5,9.149135805370001e10,-0.0,0.5030217497407765
0.5,0.03,0.0,1.380812049402e11,-0.0,0.5034217316732738
0.5,0.03,0.1,1.334624106879e11,-0.0,0.5037879435624826
0.5,0.03,0.25,1.144760110785e11,-0.0,0.5035843123491774
0.5,0.03,0.5,8.881097019670001e10,-0.0,0.5034423377430028
0.5,0.04,0.0,1.38065145815e11,-0.0,0.5043313146918926
0.5,0.04,0.1,1.325258928998e11,-0.0,0.5041191528430345
0.5,0.04,0.25,1.157591409985e11,-0.0,0.5043323997610757
0.5,0.04,0.5,8.961299776670001e10,-0.0,0.5044823814738917
0.5,0.05,0.0,1.378571802072e11,2.422328e6,0.49348487943784497
0.5,0.05,0.1,1.3162551042319998e11,1.930742e6,0.49595702729016955
0.5,0.05,0.25,1.1523437805949998e11,3.103572e6,0.48964772123955186
0.5,0.05,0.5,9.443394414909999e10,2.000457e6,0.49551379190125666
0.5,0.06,0.0,1.371764650906e11,1.064057e7,0.46430403434407563
0.5,0.06,0.1,1.3230116104970001e11,3.819053e6,0.4844192435513629
0.5,0.06,0.25,1.145074736204e11,6.962689e6,0.47252433632593455
0.5,0.06,0.5,9.16588681059e10,1.1708515e7,0.45246247549895935
0.5,0.07,0.0,1.366842892116e11,1.6578168e7,0.426179836163865
0.5,0.07,0.1,1.3150639327630002e11,1.766583e7,0.4162926901417261
0.5,0.07,0.25,1.1520396143990001e11,1.6746738e7,0.4201777514853992
0.5,0.07,0.5,8.83769708463e10,1.2429998e7,0.44035819571050266
0.5,0.08,0.0,1.3589370270640002e11,2.6098195e7,0.39017020148683257
0.5,0.08,0.1,1.3067680243729999e11,2.2611453e7,0.39716101832935946
0.5,0.08,0.25,1.1383061342e11,2.462301e7,0.3902414131005091
0.5,0.08,0.5,8.866296121130002e10,2.5856462e7,0.39017020379274453
0.5,0.09,0.0,1.3574435197870001e11,2.786619e7,0.3901702050701745
0.5,0.09,0.1,1.3059177025180002e11,2.675516e7,0.39017020458890994
0.5,0.09,0.25,1.1433022643849998e11,2.5841506e7,0.39017020643734374
0.5,0.09,0.5,8.90078024716e10,2.5615001e7,0.3901702048199298
0.5,0.1,0.0,1.3612425669210002e11,2.2858328e7,0.39017020322904705
0.5,0.1,0.1,1.3018374141890002e11,2.1363267e7,0.3901702034313141
0.5,0.1,0.25,1.1481201771290001e11,3.0180756e7,0.39017020531079205
0.5,0.1,0.5,9.11053918641e10,2.2072975e7,0.39017020488661663
0.5,0.11,0.0,1.364333795215e11,1.8533189e7,0.39017020412618586
0.5,0.11,0.1,1.313563478056e11,2.1298391e7,0.39017020611779685
0.5,0.11,0.25,1.148303816542e11,1.7174414e7,0.39017020300142047
0.5,0.11,0.5,8.78929659799e10,2.2008162e7,0.39017020689683873
0.5,0.12,0.0,1.3638610953320001e11,1.8657008e7,0.39017020491681165
0.5,0.12,0.1,1.304861093479e11,1.6726405e7,0.39017020221369825
0.5,0.12,0.25,1.1408093590670001e11,1.6876802e7,0.39017020544416386
0.5,0.12,0.5,9.36058530749e10,2.1739283e7,0.3901702056152101
0.5,0.13,0.0,1.3652349349e11,1.6627289e7,0.3901702052363821
0.5,0.13,0.1,1.307664979715e11,1.9282071e7,0.3901702016714874
0.5,0.13,0.25,1.139547287786e11,1.5932941e7,0.39017020342965225
0.5,0.13,0.5,8.86328093884e10,1.215782e7,0.39017020229747745
0.5,0.14,0.0,1.361709013394e11,1.0002063e7,0.3901702063067749
0.5,0.14,0.1,1.3219708769029997e11,1.3824377e7,0.3901702050575464
0.5,0.14,0.25,1.12367597311e11,1.3116455e7,0.3901702045560055
0.5,0.14,0.5,8.38685627146e10,1.0500243e7,0.39017020419395687
0.5,0.15,0.0,1.352123506411e11,9.429416e6,0.3901702056777805
0.5,0.15,0.1,1.295040342921e11,9.153611e6,0.390170202579461
0.5,0.15,0.25,1.1250756290729999e11,9.673083e6,0.3901702041715464
0.5,0.15,0.5,8.882927965270001e10,9.698829e6,0.3901702039075926
0.5,0.16,0.0,1.355066523251e11,5.81007e6,0.39017020560782545
0.5,0.16,0.1,1.278867528986e11,1.1989546e7,0.39017020309854933
0.5,0.16,0.25,1.1262349749969998e11,5.737112e6,0.3901702038606356
0.5,0.16,0.5,9.06967170596e10,7.856212e6,0.39017020364521016
0.5,0.17,0.0,1.349268483431e11,8.683076e6,0.3901702072366854
0.5,0.17,0.1,1.2766093107150002e11,1.0350581e7,0.3901702021377047
0.5,0.17,0.25,1.1068321140180002e11,1.1957536e7,0.3901702031539799
0.5,0.17,0.5,8.461106286809998e10,6.018122e6,0.390170202587645
0.5,0.18,0.0,1.3404826423609998e11,2.487919e6,0.3901702096064863
0.5,0.18,0.1,1.2903198865540001e11,633278.0,0.3901702013295989
0.5,0.18,0.25,1.14322999359e11,5.022104e6,0.3901702060934575
0.5,0.18,0.5,8.63144532575e10,476664.0,0.3901702039216707
0.5,0.19,0.0,1.3265804753430002e11,-0.0,0.39017020476740744
0.5,0.19,0.1,1.269722404505e11,-0.0,0.3901702074424932
0.5,0.19,0.25,1.1081657178859999e11,-0.0,0.39017020635867183
0.5,0.19,0.5,8.029725109270001e10,-0.0,0.39017020439238287
0.5,0.2,0.0,1.3139119927780002e11,-0.0,0.3901702041488425
0.5,0.2,0.1,1.2714721594059999e11,-0.0,0.39017020374279665
0.5,0.2,0.25,1.115680517765e11,2.597719e6,0.3901702044006514
0.5,0.2,0.5,7.947212976379999e10,2.091274e6,0.39017020398824986
0.75,0.0,0.0,1.381185064241e11,-0.0,0.5017393664001494
0.75,0.0,0.1,1.310024670914e11,-0.0,0.5017393664001494
0.75,0.0,0.25,1.107421576116e11,-0.0,0.5017393664001494
0.75,0.0,0.5,8.980759438859999e10,-0.0,0.5017393664001494
0.75,0.01,0.0,1.381066714886e11,-0.0,0.5021910978321197
0.75,0.01,0.1,1.3078690425440002e11,-0.0,0.5022942524617016
0.75,0.01,0.25,1.0909838409089998e11,-0.0,0.5023076637419142
0.75,0.01,0.5,7.88258658915e10,-0.0,0.5022450997268594
0.75,0.02,0.0,1.380940504572e11,-0.0,0.5029592248671629
